FIPS,Geography,2017 Population,2017 Median Age,2017 Total households,2017 Median HHIncome,2017 Average household size,2017 Total families,2017 Average family size,2017 Percent owner-occupied housing units,2017 Percent renter-occupied housing units,2017 Population 16 years and over,2017 Unemployment rate (Population 16 years and over)
41620,"Salt Lake City, UT Metro Area",1170057,32.3,382620,67838,3.02,271471,3.58,67.1,32.9,873261,4.4
41660,"San Angelo, TX Metro Area",118498,34.1,43729,49838,2.57,27628,3.27,63.3,36.7,93472,3.8
41700,"San Antonio-New Braunfels, TX Metro Area",2377507,34.4,795519,56495,2.94,549504,3.57,62.6,37.4,1833187,5.9
41740,"San Diego-Carlsbad, CA Metro Area",3283665,35.4,1111739,70588,2.87,747245,3.45,53.0,47.0,2636785,7.1
41860,"San Francisco-Oakland-Hayward, CA Metro Area",4641820,38.8,1684081,92714,2.71,1074662,3.31,54.3,45.7,3805124,5.8
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1969897,36.9,647891,105809,2.99,467116,3.46,57.1,42.9,1568275,5.8
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",280119,39.0,105044,67175,2.51,66465,3.0,60.0,40.0,235225,4.8
41760,"Sandpoint, ID Micro Area",41855,47.7,17563,45607,2.36,11558,2.87,72.8,27.2,34439,4.4
41780,"Sandusky, OH Micro Area",75369,44.6,31577,51033,2.34,19879,2.89,69.2,30.8,61728,6.5
41820,"Sanford, NC Micro Area",59805,37.9,21691,49272,2.71,15052,3.32,67.3,32.7,46478,7.4
42100,"Santa Cruz-Watsonville, CA Metro Area",273263,37.3,95536,73663,2.73,60178,3.3,59.7,40.3,225234,6.7
42140,"Santa Fe, NM Metro Area",147514,45.3,61651,57945,2.34,36733,3.01,70.3,29.7,122691,5.5
42200,"Santa Maria-Santa Barbara, CA Metro Area",442996,33.7,144015,68023,2.94,93819,3.46,52.3,47.7,354581,6.6
42220,"Santa Rosa, CA Metro Area",500943,41.4,190058,71769,2.59,120389,3.16,60.3,39.7,410495,5.9
42300,"Sault Ste. Marie, MI Micro Area",38023,39.7,14004,44030,2.42,8560,3.03,70.0,30.0,31864,9.0
42340,"Savannah, GA Metro Area",377476,35.0,139377,55021,2.62,91418,3.2,58.4,41.6,298351,8.1
42380,"Sayre, PA Micro Area",61546,44.4,24851,50900,2.44,16827,2.94,74.8,25.2,49399,5.6
42420,"Scottsbluff, NE Micro Area",38493,39.8,15304,48063,2.46,10010,3.03,69.1,30.9,29947,5.0
42460,"Scottsboro, AL Micro Area",52326,43.0,20368,39281,2.54,14140,3.12,73.6,26.4,42482,7.7
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",557942,42.8,224955,49239,2.39,141316,3.0,67.8,32.2,460274,6.4
42620,"Searcy, AR Micro Area",78706,36.3,29217,44074,2.56,20521,3.04,67.2,32.8,62133,6.2
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3735216,37.1,1448393,77269,2.53,914836,3.12,60.0,40.0,3006610,5.5
42680,"Sebastian-Vero Beach, FL Metro Area",147981,52.2,57911,49009,2.53,36622,3.18,75.8,24.2,125409,8.2
42700,"Sebring, FL Metro Area",100177,53.1,41350,36374,2.38,26519,2.97,74.7,25.3,84633,11.5
42740,"Sedalia, MO Micro Area",42309,37.9,16031,43097,2.58,10706,3.14,67.2,32.8,32975,5.8
42780,"Selinsgrove, PA Micro Area",40570,39.7,14576,54182,2.63,10516,3.08,72.7,27.3,32827,3.6
42820,"Selma, AL Micro Area",40755,39.3,16487,30065,2.44,10318,3.13,59.2,40.8,31802,13.7
42900,"Seneca Falls, NY Micro Area",34843,42.2,13536,51601,2.34,8396,2.89,73.2,26.8,28610,4.9
42860,"Seneca, SC Micro Area",75926,45.0,31354,43978,2.4,21225,2.86,72.9,27.1,62303,6.6
42940,"Sevierville, TN Micro Area",95523,42.4,36901,44473,2.56,25688,3.02,67.4,32.6,77798,6.2
42980,"Seymour, IN Micro Area",43779,38.2,16549,49080,2.6,11695,3.06,72.7,27.3,34244,6.2
43020,"Shawano, WI Micro Area",45642,43.8,18378,50679,2.44,12226,2.97,75.6,24.4,36416,4.2
43060,"Shawnee, OK Micro Area",71614,37.6,25925,46159,2.64,17926,3.18,68.8,31.2,56218,6.7
43100,"Sheboygan, WI Metro Area",115094,41.3,47532,56114,2.36,31169,2.91,69.6,30.4,92026,4.4
43140,"Shelby, NC Micro Area",97038,41.7,37782,40002,2.52,25459,3.08,67.4,32.6,78236,10.3
43180,"Shelbyville, TN Micro Area",46854,37.2,17058,47117,2.71,12574,3.11,68.2,31.8,35933,5.6
43220,"Shelton, WA Micro Area",61569,45.9,23034,53087,2.62,15196,3.14,77.2,22.8,51137,8.3
43260,"Sheridan, WY Micro Area",29964,42.1,13130,56455,2.2,8214,2.79,68.6,31.4,24172,3.1
43300,"Sherman-Denison, TX Metro Area",126146,40.2,47550,52683,2.6,32831,3.13,67.0,33.0,99376,6.5
43320,"Show Low, AZ Micro Area",107902,35.9,34251,38798,3.07,24394,3.7,68.9,31.1,81333,16.3
43340,"Shreveport-Bossier City, LA Metro Area",443974,36.7,171610,42572,2.53,109010,3.22,62.6,37.4,347704,6.8
43380,"Sidney, OH Micro Area",48902,39.3,18665,57673,2.6,13236,3.07,70.8,29.2,37889,5.3
43420,"Sierra Vista-Douglas, AZ Metro Area",126516,40.5,49160,47847,2.36,32650,2.9,68.9,31.1,101372,7.6
43460,"Sikeston, MO Micro Area",38858,40.0,15241,41628,2.51,10468,2.96,68.9,31.1,30581,6.0
43500,"Silver City, NM Micro Area",28382,45.9,11879,40470,2.33,7255,2.94,72.3,27.7,23018,8.1
43580,"Sioux City, IA-NE-SD Metro Area",168647,36.7,65064,54474,2.53,44220,3.07,69.5,30.5,129459,4.5
43620,"Sioux Falls, SD Metro Area",250564,35.0,98203,62047,2.48,63491,3.08,67.3,32.7,191780,3.1
43660,"Snyder, TX Micro Area",17346,35.6,5838,54565,2.65,3910,3.32,74.1,25.9,13400,4.6
43700,"Somerset, KY Micro Area",63974,42.0,25810,35022,2.44,16800,3.01,69.2,30.8,51337,8.6
43740,"Somerset, PA Micro Area",75619,45.9,29918,46132,2.36,20481,2.85,77.9,22.1,63531,6.1
43760,"Sonora, CA Micro Area",53899,48.6,22267,54325,2.27,14269,2.76,69.4,30.6,46043,7.9
43780,"South Bend-Mishawaka, IN-MI Metro Area",320010,38.0,121380,48681,2.53,78553,3.15,70.0,30.0,253337,6.6
43900,"Spartanburg, SC Metro Area",325504,38.7,124755,46431,2.54,84962,3.1,69.1,30.9,258093,6.3
43940,"Spearfish, SD Micro Area",25018,41.4,10902,49275,2.17,6274,2.74,64.2,35.8,20990,3.1
43980,"Spencer, IA Micro Area",16387,42.2,7264,48978,2.21,4615,2.73,69.2,30.8,13041,3.4
44020,"Spirit Lake, IA Micro Area",17000,48.7,8039,59889,2.08,5074,2.55,75.9,24.1,14192,3.0
44060,"Spokane-Spokane Valley, WA Metro Area",547688,38.3,218166,51709,2.43,139570,2.98,64.0,36.0,439280,6.3
44100,"Springfield, IL Metro Area",210550,40.2,88903,58956,2.32,55045,2.92,69.8,30.2,168149,6.7
44140,"Springfield, MA Metro Area",630385,38.2,237713,55306,2.49,150687,3.09,62.4,37.6,518113,7.5
44180,"Springfield, MO Metro Area",455133,36.6,181947,45326,2.42,115618,2.98,62.9,37.1,362876,5.2
44220,"Springfield, OH Metro Area",135520,41.2,54836,46275,2.41,35942,2.93,65.6,34.4,108254,7.7
41060,"St. Cloud, MN Metro Area",194660,34.5,74662,58335,2.49,47916,3.01,68.7,31.3,153887,4.5
41100,"St. George, UT Metro Area",155577,35.9,52385,55175,2.93,39432,3.35,70.1,29.9,117402,5.2
41140,"St. Joseph, MO-KS Metro Area",127137,38.4,47097,49568,2.52,30190,3.13,66.1,33.9,102181,5.3
41180,"St. Louis, MO-IL Metro Area",2804998,39.0,1112971,59046,2.47,720355,3.07,69.1,30.9,2245106,6.3
41220,"St. Marys, GA Micro Area",52252,31.6,18913,53687,2.68,14363,3.05,60.1,39.9,40630,8.2
41260,"St. Marys, PA Micro Area",30781,46.7,13447,49876,2.26,8602,2.82,78.8,21.2,25444,4.8
44260,"Starkville, MS Micro Area",49392,25.4,17393,37348,2.54,8854,3.27,53.2,46.8,41468,9.5
44300,"State College, PA Metro Area",160646,31.3,57710,56466,2.48,32917,2.95,61.4,38.6,139168,4.6
44340,"Statesboro, GA Micro Area",73742,28.1,26632,39305,2.49,16464,2.95,53.2,46.8,60450,9.3
44420,"Staunton-Waynesboro, VA Metro Area",120283,43.2,48395,54427,2.38,31953,2.92,70.6,29.4,98911,4.1
44460,"Steamboat Springs, CO Micro Area",24359,39.9,9478,67472,2.53,5627,3.0,68.3,31.7,20454,3.1
44500,"Stephenville, TX Micro Area",41016,30.0,13827,47013,2.82,8905,3.3,63.7,36.3,33376,4.3
44540,"Sterling, CO Micro Area",21885,37.5,8151,44876,2.55,4805,3.33,62.0,38.0,17771,6.2
